buy_in,multiplier,position,result,cev,adjusted_cev
1.0,3.0,1,2.0,600,351.5677600000001
1.0,2.0,1,1.0,600,538.80975
1.0,2.0,3,-1.0,-300,112.85524
1.0,3.0,1,2.0,600,270.54656
1.0,2.0,2,-1.0,-300,6.123300000000029
1.0,2.0,1,1.0,600,257.863706
1.0,2.0,1,1.0,600,-148.05491999999998
1.0,2.0,2,-1.0,-300,-444.79229
1.0,2.0,3,-1.0,-300,-153.4644
1.0,2.0,3,-1.0,-300,-240.52733999999998
1.0,2.0,3,-1.0,-300,-271.00076
1.0,3.0,2,-1.0,-300,-41.615939999999995
1.0,2.0,3,-1.0,-300,52.367940000000004
1.0,3.0,2,-1.0,-300,-175.66919999999996
1.0,2.0,1,1.0,600,281.92606000000006
1.0,3.0,2,-1.0,-300,-371.7408
1.0,2.0,2,-1.0,-300,-323.70486
1.0,3.0,2,-1.0,-300,-300.0
1.0,2.0,3,-1.0,-300,-455.77145999999993
1.0,2.0,1,1.0,600,247.88807999999997
1.0,2.0,2,-1.0,-300,446.6116999999999
1.0,3.0,3,-1.0,-300,-181.29539
10.0,5.0,1,40.0,600,225.23468000000008
1.0,2.0,2,-1.0,-300,-300.0
1.0,3.0,3,-1.0,-300,-161.84685000000002
1.0,3.0,2,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,600.0
1.0,2.0,1,1.0,600,137.99294000000006
1.0,3.0,2,-1.0,-300,-204.23271999999997
1.0,2.0,2,-1.0,-300,-50.568505999999985
1.0,2.0,3,-1.0,-300,62.47560000000004
1.0,4.0,3,-1.0,-300,-151.50137999999998
1.0,2.0,1,1.0,600,600.0
1.0,3.0,2,-1.0,-300,-300.0
1.0,3.0,2,-1.0,-300,93.34388600000001
1.0,3.0,3,-1.0,-300,-65.68354
1.0,3.0,1,2.0,600,600.0
1.0,4.0,1,3.0,600,493.66237000000007
1.0,2.0,2,-1.0,-300,-1.5017400000000407
1.0,2.0,1,1.0,600,779.2773000000001
1.0,2.0,3,-1.0,-300,-235.61906000000002
1.0,2.0,1,1.0,600,90.34204000000003
1.0,3.0,2,-1.0,-300,92.94443999999999
1.0,3.0,1,2.0,600,266.2772140000001
1.0,3.0,2,-1.0,-300,-193.57920000000001
1.0,3.0,1,2.0,600,141.81855000000002
1.0,2.0,2,-1.0,-300,-300.0
1.0,3.0,3,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,-60.00458000000003
1.0,4.0,2,-1.0,-300,-157.7928
1.0,2.0,1,1.0,600,186.21875
1.0,3.0,3,-1.0,-300,-28.875789999999995
1.0,2.0,2,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,41.943434000000025
1.0,2.0,1,1.0,600,-33.486539999999934
1.0,3.0,1,2.0,600,600.0
1.0,10.0,1,9.0,600,17.51929999999993
1.0,5.0,2,-1.0,-300,108.78879999999998
1.0,3.0,2,-1.0,-300,-300.0
1.0,2.0,3,-1.0,-300,72.18378000000001
1.0,2.0,2,-1.0,-300,22.55856
1.0,3.0,2,-1.0,-300,-75.78125
1.0,5.0,3,-1.0,-300,7.904210000000035
1.0,2.0,1,1.0,600,556.43544
1.0,4.0,1,3.0,600,133.31948800000004
1.0,2.0,1,1.0,600,168.70362999999995
1.0,2.0,1,1.0,600,483.11274
1.0,4.0,2,-1.0,-300,247.41823999999997
1.0,3.0,3,-1.0,-300,-188.52920999999998
1.0,3.0,1,2.0,600,262.53881999999993
1.0,5.0,2,-1.0,-300,81.30255000000001
1.0,2.0,1,1.0,600,2.6783399999999915
1.0,2.0,2,-1.0,-300,202.19834999999995
1.0,2.0,2,-1.0,-300,-51.155820000000006
1.0,2.0,2,-1.0,-300,507.33392
1.0,3.0,2,-1.0,-300,1.215400000000045
1.0,2.0,2,-1.0,-300,-60.5951
1.0,2.0,2,-1.0,-300,-208.08778999999993
1.0,2.0,3,-1.0,-300,-300.0
1.0,2.0,2,-1.0,-300,-207.94576600000002
1.0,2.0,2,-1.0,-300,-174.70841999999993
1.0,2.0,2,-1.0,-300,203.60884000000001
1.0,5.0,3,-1.0,-300,-97.06548000000001
1.0,2.0,2,-1.0,-300,-300.0
1.0,2.0,1,1.0,600,164.07447999999994
1.0,2.0,2,-1.0,-300,45.68457999999998
1.0,5.0,1,4.0,600,-193.28946000000002
1.0,2.0,3,-1.0,-300,362.02869
1.0,2.0,2,-1.0,-300,-113.45960000000002
1.0,2.0,2,-1.0,-300,-139.75338
1.0,4.0,2,-1.0,-300,253.80873
1.0,3.0,1,2.0,600,309.39959999999996
1.0,2.0,2,-1.0,-300,-50.67149999999998
1.0,2.0,3,-1.0,-300,-209.07223999999997
1.0,5.0,2,-1.0,-300,-149.34056
1.0,2.0,2,-1.0,-300,-26.250239999999962
1.0,3.0,2,-1.0,-300,171.81527
1.0,5.0,1,4.0,600,200.39289
1.0,3.0,2,-1.0,-300,-90.62265
1.0,2.0,3,-1.0,-300,-160.0294
1.0,3.0,3,-1.0,-300,-183.6532896
1.0,3.0,1,2.0,600,191.83908
1.0,2.0,2,-1.0,-300,-126.87368000000004
1.0,3.0,1,2.0,600,194.72081600000004
1.0,2.0,2,-1.0,-300,-113.62554999999998
1.0,5.0,2,-1.0,-300,-105.07698000000005
1.0,2.0,1,1.0,600,600.0
1.0,3.0,2,-1.0,-300,-215.46051
1.0,2.0,3,-1.0,-300,-300.0
1.0,3.0,3,-1.0,-300,-37.197
1.0,2.0,1,1.0,600,420.53606
1.0,2.0,2,-1.0,-300,30.317439999999976
1.0,2.0,2,-1.0,-300,-51.172
1.0,3.0,3,-1.0,-300,132.97127999999998
1.0,2.0,1,1.0,600,84.06979999999997
1.0,2.0,1,1.0,600,-121.77226000000003
1.0,4.0,1,3.0,600,600.0
1.0,2.0,2,-1.0,-300,-77.02621999999995
1.0,2.0,2,-1.0,-300,-225.71999999999997
1.0,4.0,1,3.0,600,265.80774
1.0,2.0,3,-1.0,-300,96.40853999999997
1.0,2.0,3,-1.0,-300,11.684480000000008
1.0,2.0,2,-1.0,-300,151.7942
1.0,2.0,3,-1.0,-300,-25.103859999999997
1.0,2.0,2,-1.0,-300,-168.534204
1.0,5.0,3,-1.0,-300,71.19152000000003
1.0,3.0,1,2.0,600,-126.86761999999993
1.0,2.0,1,1.0,600,600.0
1.0,5.0,3,-1.0,-300,-276.681585
1.0,2.0,3,-1.0,-300,-31.821319999999957
1.0,2.0,3,-1.0,-300,-266.27927999999997
1.0,3.0,1,2.0,600,-184.69116000000002
1.0,2.0,1,1.0,600,-76.91909999999999
1.0,3.0,3,-1.0,-300,-10.232010000000002
1.0,2.0,1,1.0,600,-123.80495999999994
1.0,3.0,2,-1.0,-300,65.35163999999989
1.0,2.0,2,-1.0,-300,-231.9092
1.0,2.0,3,-1.0,-300,-158.34234
